element,category_id,frequency_in_category
lungomare,Bari,4
magical,Bari,3
main,Bari,12
many,Bari,29
maratona,Bari,7
march,Bari,3
mare,Bari,3
marine,Bari,2
matteotti,Bari,3
mean,Bari,4
menu,Bari,6
merchant,Bari,3
meter,Bari,15
metre,Bari,9
metteotti,Bari,3
mid,Bari,4
mile,Bari,4
min,Bari,8
mind,Bari,2
mini,Bari,4
minimum,Bari,3
minute,Bari,41
mix,Bari,5
mm,Bari,3
monopoli,Bari,9
month,Bari,10
mother,Bari,2
motorbike,Bari,4
mozzarella,Bari,4
much,Bari,16
municipal,Bari,3
museum,Bari,5
music,Bari,15
name,Bari,9
narrow,Bari,5
need,Bari,14
new,Bari,4
news,Bari,3
next,Bari,8
noisy,Bari,4
noone,Bari,4
north,Bari,1
nothing,Bari,10
nr,Bari,12
number,Bari,7
octopus,Bari,2
offer,Bari,9
office,Bari,5
official,Bari,3
ok,Bari,10
old,Bari,45
olive,Bari,4
open,Bari,15
option,Bari,3
outdoor,Bari,4
outlet,Bari,5
overnight,Bari,5
overwhelmed,Bari,4
paid,Bari,22
pane,Bari,15
panini,Bari,3
panorama,Bari,5
parasol,Bari,4
park,Bari,9
parking,Bari,4
parma,Bari,4
part,Bari,19
partner,Bari,4
patrol,Bari,2
pay,Bari,27
peace,Bari,9
peeve,Bari,4
people,Bari,64
perfect,Bari,16
peroni,Bari,5
personal,Bari,4
pet,Bari,4
picture,Bari,7
pisc,Bari,7
pizza,Bari,24
pizzeria,Bari,7
place,Bari,81
plan,Bari,5
play,Bari,4
pleace,Bari,7
pleasant,Bari,21
please,Bari,4
plenty,Bari,10
point,Bari,4
police,Bari,7
polignano,Bari,9
pomodoro,Bari,15
poop,Bari,1
poor,Bari,4
port,Bari,5
possible,Bari,6
prawn,Bari,2
prevent,Bari,3
price,Bari,12
private,Bari,4
problem,Bari,14
professional,Bari,4
progressivly,Bari,8
promenade,Bari,22
proportion,Bari,4
protect,Bari,4
public,Bari,19
pushchair,Bari,4
quality,Bari,4
quota,Bari,5
rain,Bari,16
rainy,Bari,10
raw,Bari,6
ray,Bari,6
reach,Bari,7
read,Bari,29
real,Bari,5
reasonable,Bari,8
recall,Bari,5
recommend,Bari,7
refuse,Bari,7
reign,Bari,2
relax,Bari,3
relaxation,Bari,4
rent,Bari,15
rental,Bari,7
research,Bari,9
restaurant,Bari,45
review,Bari,4
ride,Bari,6
right,Bari,7
road,Bari,4
rock,Bari,29
rocket,Bari,4
rocky,Bari,19
room,Bari,12
rough,Bari,5
round,Bari,4
row,Bari,9
rubbish,Bari,2
safe,Bari,7
san,Bari,3
sand,Bari,83
sandbar,Bari,10
sandwich,Bari,8
sandy,Bari,57
saw,Bari,7
sea,Bari,78
seafront,Bari,4
seaside,Bari,4
season,Bari,3
seat,Bari,7
second,Bari,4
section,Bari,4
secure,Bari,3
security,Bari,4
sell,Bari,5
seller,Bari,4
sensation,Bari,10
september,Bari,13
several,Bari,2
sevice,Bari,7
sewerage,Bari,3
shade,Bari,10
shallow,Bari,12
shame,Bari,4
shoe,Bari,2
shore,Bari,10
shower,Bari,40
side,Bari,39
siesta,Bari,7
sight,Bari,2
sign,Bari,5
site,Bari,12
size,Bari,7
slice,Bari,6
small,Bari,49
smoke,Bari,3
snack,Bari,10
soft,Bari,10
somebody,Bari,4
someone,Bari,5
something,Bari,3
south,Bari,5
space,Bari,3
spacious,Bari,6
speak,Bari,12
special,Bari,10
spend,Bari,3
spent,Bari,5
spoiler,Bari,2
sport,Bari,4
spot,Bari,11
spotless,Bari,4
springtime,Bari,3
spritz,Bari,8
staff,Bari,13
station,Bari,9
stay,Bari,12
stayed,Bari,12
stole,Bari,4
stone,Bari,9
stop,Bari,12
story,Bari,2
strange,Bari,4
stream,Bari,3
street,Bari,26
stretch,Bari,4
stroll,Bari,5
strong,Bari,5
stuff,Bari,16
suit,Bari,7
suitable,Bari,11
sun,Bari,34
sunbeds,Bari,23
sunchairs,Bari,5
sunny,Bari,4
sunshade,Bari,4
sunshine,Bari,6
superfast,Bari,8
supervision,Bari,5
sure,Bari,7
surprise,Bari,9
surprised,Bari,9
swim,Bari,34
table,Bari,4
talk,Bari,2
tap,Bari,4
task,Bari,2
tasty,Bari,3
taxi,Bari,5
terminal,Bari,15
terrible,Bari,4
therethis,Bari,7
thief,Bari,13
thin,Bari,3
thing,Bari,7
think,Bari,16
thousand,Bari,2
tide,Bari,2
time,Bari,37
toilet,Bari,39
told,Bari,8
top,Bari,2
tourism,Bari,4
tourist,Bari,15
towards,Bari,3
towel,Bari,9
town,Bari,39
toy,Bari,3
traffic,Bari,3
train,Bari,18
trash,Bari,9
travel,Bari,5
tree,Bari,9
trip,Bari,5
try,Bari,3
turn,Bari,8
umbrella,Bari,60
undressed,Bari,4
use,Bari,4
vacation,Bari,11
vain,Bari,4
valuable,Bari,5
value,Bari,8
vegetarian,Bari,3
vehicle,Bari,2
vendor,Bari,7
verdi,Bari,7
vibe,Bari,4
view,Bari,26
visit,Bari,7
wacky,Bari,4
waiter,Bari,6
walk,Bari,78
walkway,Bari,6
wall,Bari,8
want,Bari,18
warm,Bari,13
wary,Bari,4
wash,Bari,3
wasnt,Bari,5
waste,Bari,3
watch,Bari,5
water,Bari,137
waterfowl,Bari,3
wather,Bari,5
wave,Bari,5
wawes,Bari,4
way,Bari,11
wear,Bari,2
weather,Bari,3
weawes,Bari,5
week,Bari,5
weekend,Bari,13
whatelse,Bari,5
wheelchair,Bari,4
whilst,Bari,4
white,Bari,17
whole,Bari,12
wide,Bari,9
wifi,Bari,5
window,Bari,8
windsurfers,Bari,1
wish,Bari,9
wonderful,Bari,2
world,Bari,3
worth,Bari,7
wrong,Bari,5
year,Bari,9
yes,Bari,5
yesterday,Bari,4
abandonment,Cagliari,1
able,Cagliari,12
absent,Cagliari,1
absolute,Cagliari,2
absorb,Cagliari,1
abundance,Cagliari,1
acceptable,Cagliari,1
accesible,Cagliari,1
access,Cagliari,25
accessible,Cagliari,12
accommodation,Cagliari,3
account,Cagliari,1
accurate,Cagliari,1
action,Cagliari,4
activity,Cagliari,7
actual,Cagliari,2
ad,Cagliari,1
addict,Cagliari,1
adequate,Cagliari,1
adjacent,Cagliari,1
admire,Cagliari,1
admit,Cagliari,2
advance,Cagliari,5
advanced,Cagliari,1
advantage,Cagliari,1
adventure,Cagliari,2
advice,Cagliari,2
advise,Cagliari,1
advisor,Cagliari,1
aeria,Cagliari,1
aerial,Cagliari,1
aethestics,Cagliari,1
affordable,Cagliari,1
afternoon,Cagliari,13
afterwards,Cagliari,1
age,Cagliari,5
aggressive,Cagliari,1
agree,Cagliari,1
agriculture,Cagliari,1
aguilla,Cagliari,1
air,Cagliari,6
airbnb,Cagliari,1
airport,Cagliari,3
ala,Cagliari,1
albeit,Cagliari,4
alessandro,Cagliari,1
algae,Cagliari,2
alghero,Cagliari,1
alive,Cagliari,1
allmost,Cagliari,2
allows,Cagliari,3
alltourists,Cagliari,1
alright,Cagliari,1
alsowe,Cagliari,1
ambulante,Cagliari,1
amenity,Cagliari,8
amnext,Cagliari,1
amount,Cagliari,3
ample,Cagliari,2
amusement,Cagliari,1
anchorage,Cagliari,1
andd,Cagliari,1
angel,Cagliari,3
animal,Cagliari,2
antipasti,Cagliari,1
anybody,Cagliari,1
anyone,Cagliari,8
anything,Cagliari,2
apatment,Cagliari,1
aperifs,Cagliari,1
aperitif,Cagliari,1
aperitivo,Cagliari,1
app,Cagliari,3
appeal,Cagliari,1
apperoll,Cagliari,1
appreciate,Cagliari,1
approach,Cagliari,1
approx,Cagliari,3
apps,Cagliari,1
april,Cagliari,8
aprox,Cagliari,1
aquamarine,Cagliari,2
arcade,Cagliari,1
archeological,Cagliari,1
area,Cagliari,101
arenice,Cagliari,2
arent,Cagliari,1
army,Cagliari,1
aroud,Cagliari,1
arrival,Cagliari,1
arrive,Cagliari,4
arrives,Cagliari,1
artistic,Cagliari,1
asian,Cagliari,2
ask,Cagliari,1
aspect,Cagliari,1
ate,Cagliari,3
attarcts,Cagliari,1
attention,Cagliari,2
attitude,Cagliari,1
attract,Cagliari,1
attraction,Cagliari,4
attractive,Cagliari,5
august,Cagliari,14
australia,Cagliari,1
autumn,Cagliari,2
avail,Cagliari,1
available,Cagliari,21
average,Cagliari,5
avery,Cagliari,1
avoid,Cagliari,5
aware,Cagliari,3
awefull,Cagliari,1
awesome,Cagliari,4
awful,Cagliari,1
background,Cagliari,2
bad,Cagliari,12
badminton,Cagliari,1
ball,Cagliari,5
ballad,Cagliari,1
band,Cagliari,4
bank,Cagliari,1
banter,Cagliari,1
bar,Cagliari,150
bare,Cagliari,1
barefoot,Cagliari,1
bargain,Cagliari,1
barselona,Cagliari,1
bartender,Cagliari,1
bartolomeo,Cagliari,1
base,Cagliari,2
basic,Cagliari,3
basis,Cagliari,1
bath,Cagliari,1
bathing,Cagliari,5
bathroom,Cagliari,3
bay,Cagliari,7
bc,Cagliari,1
beach,Cagliari,1035
beacha,Cagliari,1
beachbest,Cagliari,1
beachcomber,Cagliari,1
beachfront,Cagliari,3
beachgoers,Cagliari,1
beachside,Cagliari,1
bead,Cagliari,2
bear,Cagliari,1
beautiful,Cagliari,94
beautifulat,Cagliari,1
beautifull,Cagliari,2
beautriful,Cagliari,1
beauty,Cagliari,8
become,Cagliari,4
becomes,Cagliari,1
bed,Cagliari,28
beeing,Cagliari,1
beer,Cagliari,17
beforehand,Cagliari,1
begin,Cagliari,2
beginner,Cagliari,1
belief,Cagliari,1
belong,Cagliari,1
belonging,Cagliari,3
belongs,Cagliari,2
belting,Cagliari,1
bench,Cagliari,1
benefit,Cagliari,1
beside,Cagliari,1
best,Cagliari,38
bet,Cagliari,1
beuatiful,Cagliari,1
beverage,Cagliari,2
beware,Cagliari,2
beyonce,Cagliari,1
bicicle,Cagliari,1
bicker,Cagliari,1
bicycle,Cagliari,4
big,Cagliari,23
bike,Cagliari,20
biking,Cagliari,4
billy,Cagliari,1
bird,Cagliari,1
bistro,Cagliari,1
bit,Cagliari,46
bite,Cagliari,1
black,Cagliari,3
blade,Cagliari,1
blading,Cagliari,1
blanket,Cagliari,1
blast,Cagliari,2
blind,Cagliari,1
bliss,Cagliari,1
blissful,Cagliari,1
block,Cagliari,1
blocker,Cagliari,1
blow,Cagliari,2
blowing,Cagliari,1
blown,Cagliari,1
blue,Cagliari,28
bnbs,Cagliari,1
board,Cagliari,4
boarding,Cagliari,1
boast,Cagliari,1
boat,Cagliari,9
bone,Cagliari,1
book,Cagliari,3
booth,Cagliari,1
border,Cagliari,1
born,Cagliari,1
bother,Cagliari,3
bottle,Cagliari,1
bottom,Cagliari,2
bought,Cagliari,5
boulevard,Cagliari,2
boundary,Cagliari,1
bout,Cagliari,1
bowl,Cagliari,1
box,Cagliari,1
boy,Cagliari,1
bracelet,Cagliari,1
brave,Cagliari,1
brazil,Cagliari,1
breach,Cagliari,1
break,Cagliari,3
breakfast,Cagliari,6
breath,Cagliari,1
breathtaking,Cagliari,2
breeze,Cagliari,1
brick,Cagliari,1
brief,Cagliari,1
briefly,Cagliari,1
brighton,Cagliari,1
bring,Cagliari,10
brings,Cagliari,1
brochure,Cagliari,1
broken,Cagliari,1
brolly,Cagliari,1
brought,Cagliari,2
brown,Cagliari,3
buddha,Cagliari,1
building,Cagliari,26
built,Cagliari,2
bump,Cagliari,1
bunker,Cagliari,1
buoy,Cagliari,1
burger,Cagliari,1
burn,Cagliari,1
burnt,Cagliari,1
burumini,Cagliari,2
bus,Cagliari,244
busdriver,Cagliari,1
bush,Cagliari,1
busier,Cagliari,2
business,Cagliari,2
bussesyou,Cagliari,1
bustle,Cagliari,1
busy,Cagliari,58
buzzing,Cagliari,1
cab,Cagliari,2
cabana,Cagliari,1
cabin,Cagliari,8
cades,Cagliari,1
caf,Cagliari,1
cafe,Cagliari,58
cafeteria,Cagliari,1
cafeteries,Cagliari,1
cafs,Cagliari,2
cagliar,Cagliari,1
cagliarese,Cagliari,1
cagliarians,Cagliari,1
cagliaritana,Cagliari,1
cagliary,Cagliari,1
cala,Cagliari,2
calgary,Cagliari,1
calgiari,Cagliari,2
californian,Cagliari,1
calm,Cagliari,22
calmer,Cagliari,2
canadian,Cagliari,1
canoe,Cagliari,4
cant,Cagliari,2
capital,Cagliari,2
capolinea,Cagliari,1
cappuccino,Cagliari,2
car,Cagliari,39
card,Cagliari,1
care,Cagliari,4
caribbean,Cagliari,3
carnival,Cagliari,1
carriageway,Cagliari,1
castle,Cagliari,1
casual,Cagliari,1
cat,Cagliari,2
catch,Cagliari,4
caters,Cagliari,1
caught,Cagliari,7
cause,Cagliari,1
celar,Cagliari,1
cent,Cagliari,1
center,Cagliari,24
central,Cagliari,5
centre,Cagliari,35
centro,Cagliari,1
certain,Cagliari,1
chair,Cagliari,39
chaise,Cagliari,1
chalet,Cagliari,1
challenged,Cagliari,1
championship,Cagliari,1
chance,Cagliari,4
change,Cagliari,2
channel,Cagliari,1
character,Cagliari,3
characteristic,Cagliari,1
charge,Cagliari,3
charm,Cagliari,1
chart,Cagliari,1
chat,Cagliari,1
che,Cagliari,1
cheap,Cagliari,12
cheaper,Cagliari,1
check,Cagliari,9
cheer,Cagliari,2
cheerful,Cagliari,1
cheery,Cagliari,1
chia,Cagliari,8
child,Cagliari,17
childrens,Cagliari,1
chill,Cagliari,6
chioschetti,Cagliari,1
chiosco,Cagliari,1
chocolate,Cagliari,1
choice,Cagliari,10
choose,Cagliari,14
choppy,Cagliari,1
chose,Cagliari,2
chosen,Cagliari,1
cinema,Cagliari,1
circa,Cagliari,1
circle,Cagliari,1
circulate,Cagliari,1
city,Cagliari,122
citybeach,Cagliari,1
civic,Cagliari,1
class,Cagliari,1
classy,Cagliari,1
clean,Cagliari,96
cleaner,Cagliari,1
cleanest,Cagliari,1
cleaning,Cagliari,1
cleanliness,Cagliari,1
clear,Cagliari,90
clearest,Cagliari,1
cliff,Cagliari,1
climb,Cagliari,1
closer,Cagliari,4
closest,Cagliari,7
cloudy,Cagliari,2
club,Cagliari,22
clump,Cagliari,2
clutter,Cagliari,1
coast,Cagliari,9
coastline,Cagliari,2
cocktail,Cagliari,3
coconut,Cagliari,1
coffe,Cagliari,1
coffee,Cagliari,17
cold,Cagliari,17
colder,Cagliari,2
collect,Cagliari,2
collection,Cagliari,1
color,Cagliari,7
colour,Cagliari,2
combine,Cagliari,1
comercial,Cagliari,1
comfort,Cagliari,2
comfortable,Cagliari,4
comfty,Cagliari,1
comfy,Cagliari,1
comment,Cagliari,1
commercial,Cagliari,3
common,Cagliari,1
communication,Cagliari,1
commute,Cagliari,1
compare,Cagliari,1
comparison,Cagliari,2
complain,Cagliari,1
complaint,Cagliari,2
complete,Cagliari,4
complimentary,Cagliari,1
component,Cagliari,1
compound,Cagliari,1
concession,Cagliari,1
concrete,Cagliari,4
condition,Cagliari,2
coney,Cagliari,1
confirm,Cagliari,1
connect,Cagliari,1
connection,Cagliari,4
connectivity,Cagliari,2
consideration,Cagliari,1
consist,Cagliari,1
constant,Cagliari,1
convenience,Cagliari,1
convenient,Cagliari,5
cook,Cagliari,1
cool,Cagliari,7
cooler,Cagliari,1
coolest,Cagliari,1
copious,Cagliari,1
corner,Cagliari,4
corsari,Cagliari,1
corse,Cagliari,1
cost,Cagliari,17
cosy,Cagliari,2
cotton,Cagliari,1
council,Cagliari,1
count,Cagliari,2
counter,Cagliari,1
couple,Cagliari,26
course,Cagliari,7
cove,Cagliari,2
cover,Cagliari,2
cozy,Cagliari,1
crammed,Cagliari,2
crap,Cagliari,1
crappy,Cagliari,1
cras,Cagliari,1
crazy,Cagliari,2
crdible,Cagliari,1
cream,Cagliari,5
crescent,Cagliari,1
cristal,Cagliari,1
crowd,Cagliari,10
crowdy,Cagliari,3
crown,Cagliari,1
cruise,Cagliari,7
crush,Cagliari,1
cry,Cagliari,1
crystal,Cagliari,30
ctm,Cagliari,4
cube,Cagliari,1
cup,Cagliari,2
curb,Cagliari,2
curious,Cagliari,1
current,Cagliari,1
custom,Cagliari,2
cute,Cagliari,3
cycle,Cagliari,11
cyclers,Cagliari,1
cycling,Cagliari,12
cyclist,Cagliari,7
daily,Cagliari,3
dance,Cagliari,3
dangerous,Cagliari,1
dark,Cagliari,4
daubed,Cagliari,1
daughter,Cagliari,1
dawn,Cagliari,2
day,Cagliari,167
dead,Cagliari,1
deal,Cagliari,4
debris,Cagliari,8
decay,Cagliari,1
december,Cagliari,2
decent,Cagliari,10
decision,Cagliari,1
deck,Cagliari,7
deckchair,Cagliari,1
decrepit,Cagliari,1
deep,Cagliari,6
deeper,Cagliari,1
defect,Cagliari,1
defense,Cagliari,1
degree,Cagliari,6
degres,Cagliari,1
dei,Cagliari,1
del,Cagliari,11
deli,Cagliari,1
delicious,Cagliari,2
delight,Cagliari,1
delightful,Cagliari,2
depends,Cagliari,4
depth,Cagliari,2
derelict,Cagliari,8
descend,Cagliari,1
descent,Cagliari,1
desert,Cagliari,1
design,Cagliari,1
desk,Cagliari,1
desperate,Cagliari,1
dessert,Cagliari,1
destination,Cagliari,2
determine,Cagliari,1
detract,Cagliari,1
devil,Cagliari,14
di,Cagliari,3
diavolo,Cagliari,9
didnt,Cagliari,3
differ,Cagliari,1
different,Cagliari,20
difficult,Cagliari,10
dinghy,Cagliari,2
dinner,Cagliari,6
dip,Cagliari,6
direction,Cagliari,1
dirt,Cagliari,4
dirty,Cagliari,17
disable,Cagliari,1
disappointed,Cagliari,11
disco,Cagliari,1
discover,Cagliari,1
dish,Cagliari,1
distance,Cagliari,6
distressed,Cagliari,1
district,Cagliari,2
dj,Cagliari,1
docked,Cagliari,1
document,Cagliari,1
dog,Cagliari,9
dominates,Cagliari,1
dominican,Cagliari,1
dont,Cagliari,11
door,Cagliari,1
dosh,Cagliari,1
douche,Cagliari,1
dove,Cagliari,1
download,Cagliari,1
downside,Cagliari,7
downtown,Cagliari,6
drag,Cagliari,1
drank,Cagliari,1
dreadful,Cagliari,2
dream,Cagliari,3
drink,Cagliari,65
drinkd,Cagliari,1
drinking,Cagliari,6
drive,Cagliari,14
driver,Cagliari,3
drop,Cagliari,2
drug,Cagliari,1
dry,Cagliari,1
due,Cagliari,7
dull,Cagliari,1
duty,Cagliari,1
dweller,Cagliari,1
easiset,Cagliari,1
east,Cagliari,3
easter,Cagliari,2
eastside,Cagliari,1
easy,Cagliari,71
eat,Cagliari,20
eater,Cagliari,1
eatery,Cagliari,4
economy,Cagliari,1
edge,Cagliari,4
eerie,Cagliari,1
efficient,Cagliari,1
effort,Cagliari,2
elana,Cagliari,1
elegant,Cagliari,1
element,Cagliari,1
elena,Cagliari,4
ellena,Cagliari,1
emerald,Cagliari,1
emerson,Cagliari,4
emphasise,Cagliari,1
empty,Cagliari,11
en,Cagliari,1
encounter,Cagliari,1
end,Cagliari,29
endless,Cagliari,3
energy,Cagliari,1
enjoy,Cagliari,30
enjoyable,Cagliari,7
enjoyment,Cagliari,1
enourmous,Cagliari,1
enter,Cagliari,5
entertainment,Cagliari,4
enthusiast,Cagliari,1
entire,Cagliari,5
entrance,Cagliari,3
entry,Cagliari,2
environement,Cagliari,1
environment,Cagliari,1
environmental,Cagliari,1
epic,Cagliari,1
equipment,Cagliari,2
escape,Cagliari,3
esplanade,Cagliari,1
espresso,Cagliari,1
essence,Cagliari,1
essential,Cagliari,1
establishment,Cagliari,2
estate,Cagliari,1
etc,Cagliari,29
eu,Cagliari,1
eur,Cagliari,3
euro,Cagliari,44
europe,Cagliari,3
european,Cagliari,3
eve,Cagliari,1
evening,Cagliari,2
everybody,Cagliari,3
everyday,Cagliari,1
everyone,Cagliari,11
everything,Cagliari,10
eviva,Cagliari,1
excellent,Cagliari,13
exception,Cagliari,2
exceptional,Cagliari,1
excitement,Cagliari,1
exclusive,Cagliari,1
excursion,Cagliari,1
excuse,Cagliari,1
exercise,Cagliari,2
exit,Cagliari,1
expateurotraveller,Cagliari,1
expectation,Cagliari,1
expedition,Cagliari,1
expense,Cagliari,1
expensive,Cagliari,20
experience,Cagliari,15
explore,Cagliari,1
express,Cagliari,7
extends,Cagliari,1
extra,Cagliari,1
extreme,Cagliari,1
eye,Cagliari,5
eyesore,Cagliari,2
fab,Cagliari,2
fabulous,Cagliari,5
face,Cagliari,1
facility,Cagliari,31
fact,Cagliari,2
faeces,Cagliari,1
fair,Cagliari,4
fairness,Cagliari,1
false,Cagliari,1
family,Cagliari,20
famous,Cagliari,2
fan,Cagliari,2
fanatic,Cagliari,1
fancy,Cagliari,1
fantastic,Cagliari,11
fare,Cagliari,2
farther,Cagliari,2
fascist,Cagliari,1
fashionistas,Cagliari,1
fast,Cagliari,1
fat,Cagliari,1
father,Cagliari,1
favorite,Cagliari,3
favour,Cagliari,1
feature,Cagliari,2
featureless,Cagliari,1
february,Cagliari,3
fee,Cagliari,10
feel,Cagliari,11
fella,Cagliari,1
felt,Cagliari,4
female,Cagliari,1
fermata,Cagliari,1
fianc,Cagliari,2
field,Cagliari,1
fifteen,Cagliari,1
fifth,Cagliari,1
fill,Cagliari,1
fin,Cagliari,1
finco,Cagliari,1
fine,Cagliari,14
finer,Cagliari,1
firm,Cagliari,1
fish,Cagliari,5
fisher,Cagliari,1
fisherman,Cagliari,1
fishing,Cagliari,2
fitness,Cagliari,3
fizzy,Cagliari,1
flag,Cagliari,1
flamingo,Cagliari,18
flash,Cagliari,1
flat,Cagliari,2
flight,Cagliari,3
flock,Cagliari,1
flood,Cagliari,1
floor,Cagliari,1
floridian,Cagliari,1
fly,Cagliari,3
focal,Cagliari,1
folk,Cagliari,4
fond,Cagliari,1
food,Cagliari,50
foot,Cagliari,10
football,Cagliari,1
footbridge,Cagliari,1
footpath,Cagliari,1
forbidden,Cagliari,1
force,Cagliari,2
foregners,Cagliari,1
foreigner,Cagliari,1
forget,Cagliari,2
forgettable,Cagliari,1
forgot,Cagliari,1
form,Cagliari,1
formal,Cagliari,1
former,Cagliari,1
fort,Cagliari,1
fortunate,Cagliari,2
found,Cagliari,18
fountain,Cagliari,2
fourth,Cagliari,1
free,Cagliari,38
frequent,Cagliari,7
fresh,Cagliari,7
friday,Cagliari,3
friend,Cagliari,7
frim,Cagliari,1
fron,Cagliari,1
front,Cagliari,11
frozen,Cagliari,1
fruit,Cagliari,1
full,Cagliari,27
fun,Cagliari,9
furry,Cagliari,1
fut,Cagliari,1
future,Cagliari,1
game,Cagliari,3
garage,Cagliari,1
garbage,Cagliari,2
gazebo,Cagliari,1
gelato,Cagliari,1
gem,Cagliari,2
general,Cagliari,5
generation,Cagliari,1
generous,Cagliari,1
gentle,Cagliari,2
genuine,Cagliari,1
getaway,Cagliari,3
gianni,Cagliari,2
girl,Cagliari,2
girlie,Cagliari,1
glad,Cagliari,1
glass,Cagliari,3
globe,Cagliari,1
glorious,Cagliari,1
god,Cagliari,2
goer,Cagliari,2
golden,Cagliari,5
good,Cagliari,131
goodness,Cagliari,1
google,Cagliari,4
gorgeous,Cagliari,10
gorgone,Cagliari,1
government,Cagliari,1
grab,Cagliari,4
grace,Cagliari,1
gradual,Cagliari,2
graffiti,Cagliari,4
grafitti,Cagliari,1
granita,Cagliari,2
granitas,Cagliari,1
grass,Cagliari,2
grazi,Cagliari,1
grazia,Cagliari,1
great,Cagliari,112
green,Cagliari,2
grey,Cagliari,4
greyish,Cagliari,1
grocery,Cagliari,1
gross,Cagliari,1
ground,Cagliari,1
group,Cagliari,5
guard,Cagliari,2
guess,Cagliari,3
guesthouse,Cagliari,1
guide,Cagliari,2
gulf,Cagliari,4
guy,Cagliari,1
gymn,Cagliari,1
gypsy,Cagliari,1
half,Cagliari,11
halfway,Cagliari,1
hall,Cagliari,1
hammock,Cagliari,1
hand,Cagliari,2
handful,Cagliari,2
handi,Cagliari,1
handy,Cagliari,5
happines,Cagliari,1
happy,Cagliari,1
harbor,Cagliari,2
harbour,Cagliari,3
hard,Cagliari,7
hardcore,Cagliari,1
harder,Cagliari,1
hassle,Cagliari,3
hat,Cagliari,2
hate,Cagliari,1
hawker,Cagliari,5
head,Cagliari,6
heal,Cagliari,1
hear,Cagliari,2
heard,Cagliari,4
hearing,Cagliari,1
heartbeat,Cagliari,1
heat,Cagliari,1
heatwave,Cagliari,1
heaven,Cagliari,3
heavy,Cagliari,2
height,Cagliari,1
hellish,Cagliari,1
help,Cagliari,3
helpful,Cagliari,2
hence,Cagliari,1
hesitate,Cagliari,1
hi,Cagliari,2
hidden,Cagliari,5
high,Cagliari,20
hike,Cagliari,2
hill,Cagliari,10
hire,Cagliari,13
hireable,Cagliari,1
historical,Cagliari,1
history,Cagliari,1
holiday,Cagliari,21
home,Cagliari,2
honest,Cagliari,2
honeymoon,Cagliari,1
hop,Cagliari,4
hope,Cagliari,4
horrendous,Cagliari,1
horrible,Cagliari,1
horror,Cagliari,1
hospitable,Cagliari,1
hospital,Cagliari,7
hospitality,Cagliari,1
host,Cagliari,2
hot,Cagliari,22
hotel,Cagliari,20
hotter,Cagliari,1
hottest,Cagliari,1
hour,Cagliari,24
house,Cagliari,7
hr,Cagliari,2
hubby,Cagliari,1
huge,Cagliari,13
hulk,Cagliari,1
hundred,Cagliari,2
husband,Cagliari,1
hustle,Cagliari,1
hut,Cagliari,6
ice,Cagliari,8
icecream,Cagliari,1
ichnusa,Cagliari,1
icnreadble,Cagliari,1
iconic,Cagliari,3
id,Cagliari,1
ideal,Cagliari,7
identi,Cagliari,1
idyllic,Cagliari,1
ignore,Cagliari,1
iguana,Cagliari,1
il,Cagliari,2
ill,Cagliari,1
im,Cagliari,1
imagine,Cagliari,8
important,Cagliari,1
impossible,Cagliari,4
impressed,Cagliari,3
impression,Cagliari,1
impressive,Cagliari,3
ina,Cagliari,1
inconvenient,Cagliari,1
india,Cagliari,1
inexpensive,Cagliari,1
information,Cagliari,2
infrastruction,Cagliari,1
infrastructure,Cagliari,1
infrequent,Cagliari,1
inhabitant,Cagliari,1
initial,Cagliari,1
installation,Cagliari,1
int,Cagliari,1
interest,Cagliari,2
interested,Cagliari,1
international,Cagliari,2
intimate,Cagliari,1
intrusive,Cagliari,1
invader,Cagliari,1
invasion,Cagliari,1
irrespective,Cagliari,1
ish,Cagliari,2
island,Cagliari,17
isnt,Cagliari,2
item,Cagliari,1
itinerant,Cagliari,1
ive,Cagliari,3
jacaranda,Cagliari,1
jam,Cagliari,1
jan,Cagliari,2
january,Cagliari,2
jaunt,Cagliari,1
jelllyfish,Cagliari,1
jellyfish,Cagliari,3
job,Cagliari,1
jog,Cagliari,3
jogger,Cagliari,4
jogging,Cagliari,10
join,Cagliari,1
joint,Cagliari,1
jolt,Cagliari,1
journey,Cagliari,11
joy,Cagliari,1
jrnak,Cagliari,1
july,Cagliari,9
jump,Cagliari,1
jumped,Cagliari,1
june,Cagliari,4
justin,Cagliari,1
kayak,Cagliari,4
kept,Cagliari,7
kick,Cagliari,1
kid,Cagliari,18
kilometer,Cagliari,6
kilometre,Cagliari,7
kind,Cagliari,10
kinda,Cagliari,1
kindness,Cagliari,1
kiosk,Cagliari,21
kiosko,Cagliari,1
kit,Cagliari,1
kite,Cagliari,7
kitesurfers,Cagliari,1
km,Cagliari,36
knew,Cagliari,1
know,Cagliari,1
la,Cagliari,9
lack,Cagliari,2
lady,Cagliari,2
lagoon,Cagliari,3
lake,Cagliari,3
land,Cagliari,3
landmark,Cagliari,1
landscape,Cagliari,2
lane,Cagliari,8
large,Cagliari,19
lasagne,Cagliari,1
last,Cagliari,9
lastminte,Cagliari,1
latin,Cagliari,1
lavilla,Cagliari,1
law,Cagliari,1
lay,Cagliari,2
lazy,Cagliari,1
leaf,Cagliari,1
learn,Cagliari,1
least,Cagliari,7
left,Cagliari,9
legend,Cagliari,1
leisure,Cagliari,1
length,Cagliari,10
lengthy,Cagliari,1
